title,favirate,comment,collect,transmit,url,video_url,text
第23集：为什么保研自我介绍你一开口老师就低头不想听了？ #大学#干货#保研#升学规划#钠珀老师,9105,131,8018,3118,https://v.douyin.com/OinavAypmV4/,
考/保研复试英文自我介绍，直接拿去用（100%原创）#考研#保研#逆袭#英文自我介绍#大学#大学生#大学生活#干货#干货分享#学习经验,59000,962,25000,8334,https://v.douyin.com/V7ZBMFSHBhk/,https://v26-web.douyinvod.com/d901c4aab0bf7dee6a9f7a0f5b45a126/67dc49e8/video/tos/cn/tos-cn-ve-15-alinc2/8d04090038be4c58940317560f066d6a/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1246&bt=1246&cs=0&ds=3&ft=t2zLrtjjM95MxrKqoZmCE1RSYaDoWMDtGsvHchyq8_45a&mime_type=video_mp4&qs=0&rc=NTwzO2dnZWg3ZWQ6Z2ZmZEBpM3h1OjU6Zmt3OTMzNGkzM0A0Y14zYzA0XzIxNi4yMTE1YSNwMGJzcjQwL3BgLS1kLS9zcw%3D%3D&btag=80000e00028000&dy_q=1742479134&l=2025032021585414EFCD14240B9F19C63E&__vid=7041889973611629860,考研保研富士场上的英文自我介绍怎么做今天这条视频看到就是赚钱因为你身边的学霸肯定打死也不会告诉你他研究生富士时候的自我介绍是怎么做的吧而今天呢我告诉大家这一条是我纯纯为自己硕士服饰原创的英文自我介绍而正是因为这条自我介绍呢我在茫茫人海在巨多大省里面脱颖而出成功的拿下了清华的硕士服饰今天我想为大家完整的还原一下我整个自我介绍面试过程中的场景视频的最后呢我想给大家讲一个我近期做面试官的一个体会我相信假摔之后你一定会大有启发这位同学请你开始三分钟的自我介绍在这三年之中我花了约19年来找出我的真正的热心其实我在我年纪小的时候跳过了我的课程从数据学习到数据学习最后找出我对数据有什么感觉在这三年之中我参加过三个研发项目的研发项目我决定做更多研发在金融数据研发上做了我的学习我花了约三年来成为一个长期的经济家我的长期目标是成为未来的业务主义我解决了我的目标since my last internshipin广发SecuritiesWell Sam's mission is quitefit and well with my sense of worthSo please feel free to ask me any questionsThank you所以呢大家一定要把我整个自我介绍的思路大家很容易就是去硬生生的背一个自我介绍其实如果你当时某一段忘记了的话你可以直接把你最重要的一段给说出来大家有没有看到我刚刚的哪一段最重要啊其实就是我在转了专业以及我认识到自己之后想从事的研究方向以及就业方向这两块是我最重要的内容而前面内容其实在哪一卡合了都无所谓啊然后我近期也做了一些面试官我感觉我最大的一个体会就是当我在面试的时候我能很轻易地看清楚这个候选人他是否真的想来就是我们学校举个例子来说如果说你做的准备非常充分的话你会对对方的一些核心的价值观一些愿景甚至是对方的一些小细节都会很感兴趣你是能从他这个人身上的状态感受到的所以我给大家考研或者保研硕士这些同学你的建议如果说你真的很想去哪个学校在复试的时候你一定一定要搞清楚自己硕士到底要研究什么内容因为呢面试的这些教授啊并不是来选一些孩子的他们是来选自己的大家知道吗就是硕士其实为导师打工啊是来选自己的员工的因此大家一定一定要把自己最闪亮的一面最想做的一些事情最清晰的规划展现在他们面前
导师解密第1集：研究生复试英文自我介绍，老师们有没有在听 #研究生复试#面试#考研#保研#研究生导师,278000,3151,138000,56000,https://v.douyin.com/i5vs9v6b/,
面试小组成员是如何确定的，提前功课老师的信息对面试有帮助么？ 请把时间花在值得的地方。#研究生复试#考研面试#保研,2235,51,937,277,https://v.douyin.com/i5vGmkrM/,
第26集：保研面试压力面准备攻略&刁钻问题回答模板大合集##面试##保研面试##保研经验分享##保研预推免##保研压力面试,1595,21,1172,632,https://v.douyin.com/i5vGtAAx/,,
面试小组成员是如何确定的，提前功课老师的信息对面试有帮助么？ 请把时间花在值得的地方。#研究生复试#考研面试#保研,2235,51,938,277,https://v.douyin.com/i5vGnGQr/,,
第26集：保研面试压力面准备攻略&刁钻问题回答模板大合集##面试##保研面试##保研经验分享##保研预推免##保研压力面试,1595,21,1172,632,https://v.douyin.com/i5vGK1aD/,,
面试小组成员是如何确定的，提前功课老师的信息对面试有帮助么？ 请把时间花在值得的地方。#研究生复试#考研面试#保研,2235,51,938,277,https://v.douyin.com/i5vGo7Ra/,,
无论文无竞赛无专利，如何靠一份科研经历杀出重围 #湖南大学#保研#保研经验分享#北京大学#保研面试,1330,57,962,397,https://v.douyin.com/MOyVzivW3bE/,,
#保研#大学规划#保研攻略 大三下投递实操的重要性,1186,50,1434,2915,https://v.douyin.com/i5vGGmuk/,,
#保研#保研精准规划#保研攻略 大二下保研需要注意的关键点,581,8,613,1523,https://v.douyin.com/USalLvINvG0/,https://v3-web.douyinvod.com/2df6aec737954b7ef0ea41f1db331ad4/67dc562d/video/tos/cn/tos-cn-ve-15c000-ce/o4enG1x1HABzQ9DJwIF5vPeDlfpIhxDEEACy8E/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=552&bt=552&cs=0&ds=6&ft=t2zLrtjjM95MxrKqoZmCE1RSYxOcWMDtGsvHchyq8_45a&mime_type=video_mp4&qs=12&rc=aTc8NGg5Ojs1ZDppNjg5OkBpajtwZHM5cnM2eDMzbGkzNEA2YTJiMTE2XzIxY15eYDYxYSNwL2JzMmRjbHJgLS1kLWJzcw%3D%3D&btag=80000e00028000&dy_q=1742482325&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20250320225205A1674811F84AF9278886&__vid=7474916115043470649,大二下想保研的学生我们到底需要注意哪几个关键点学院第一个这是你搞加分项最后的黄金时间我在韩家期间的直播给大家讲了一下韩家期间你需要根据你们学院的保研政策的加分细则你要梳理下学期开始你要搞哪些加分项如果你想发表合影刊物如果说你想搞发明性专利并且你想在保研资格上面加上分的话下学期已经是最后的时间了不然来不及第二点英语六级根据我带学生的经验英语六级大二下结束之前是最后可以刷出高分的时间大三上有95%以上的学生是刷不出来的而且大部分的学生是越刷越低所以说大家寒假期间要学英语六级你到了下学期每天也要固定安排时间去学习大家千万不要因为科研因为竞赛因为这个因为那个就忽视到英语六级法学啊星船啊金管类的学生像这种热门的方向如果你想保名校的话你的六级就是非常重要的入门券很多学生保不上名校并不是因为其他条件不好就是因为六级卡在那了三个考虑一下你要不要跨保跨保不需要去辅修也不需要搞什么双学位跨保只需要记住两个原则第一个原则是稳住你在本专业的资格第二个去搞你想跨博的方向的科研和相关的比赛我认为在大二下也是想跨博的学生你需要开始做动作的时间你到大三就会很仓促时间就会很紧张想学更多保研的一定要关心我老师我每天晚上六点在直播间不见不散
#保研#保研攻略#保研精准规划 不到大三上学期结束不要轻易放弃保研,1028,61,966,2378,https://v.douyin.com/Zmg0mzMeQNU/,,
保研到底看几个学期的成绩#保研#保研攻略,1529,65,1509,3197,https://v.douyin.com/vw7xAe3M3Gk/,,
第61集：保研人必看，80%六级600+保研学生的3大考试路径#保研#六级#大学考试#干货分享#钠珀老师,4055,151,3618,4532,https://v.douyin.com/UCi4OOcyU7Y/,https://v3-web.douyinvod.com/734355d0606da77d6ce8927f975253cb/67dc5723/video/tos/cn/tos-cn-ve-15/oMlArOyEgD6zcBuSgFC7Cth7fAAe9QsK6N2qGI/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=698&bt=698&cs=2&ds=3&ft=GZnU0RqeffPdXP~ka1jNvAq-antLjrK4UEPNRkatw_ofljVhWL6&mime_type=video_mp4&qs=15&rc=NjZoODhoZmY1OzQ8Zjg6OUBpanR1M2Q6ZjU3bzMzNGkzM0A2NDM1LzFgXzAxNDI1LWAzYSMzYXFpcjRvYmRgLS1kLS9zcw%3D%3D&btag=c0000e00028000&cquery=100o_100w_100B_100x_100z&dy_q=1742482597&feature_id=768c4eee0a62d19cc9ffc7d17c46e537&l=202503202256370F2366DEA914501B83BC&__vid=7304916836733209890,如果你保研而且保的是比较好的专业有一件事情让老师会对你的英语能力无话可说这件事情就是六级六百加今天来给大家盘点一下这些六级考了六百加的学生在大学里面考六级的路径你们不需要研究他的方法看一看他的路径你会发现你的路径都跟他差很多第一条最主流的路径学霸们是高中英语就很好进了大学之后直接介入亚斯托福亚斯托福搞完之后直接降维打击四六级四六级考完之后再回来刷雅思托夫的分最后拿着六级600加雅思7.5雅思7.0托夫100分100几分去投报言基本上一投一个准第二条主流路径大一上考四级大一下考六级后面再刷一次分刷到600加第三条主流路径大一上不让考四级或者没考大一下考大二上出六级这个分比较低这个时候呢他就会选择在大二下或者大三上再刷一次基本上不超过这三条路你们发现没有六级想要出分一定是趁着你的大一大二英语的劲儿还没过去大多数学生在大三英语会掉非常非常多所以如果大家保言提前在大一大二把英语解决掉把六级出掉分一定是最舒服的策略到了大三之后你有很多很多杂七杂八的事情要做如果到大三再去思考弥补会比较晚
第5集：复试三无人员自救指南 这期应该是大家最感兴趣的内容，没项目，没竞赛，没获奖，谁说不能高分通过复试？#复试#考研复试#25考研#考研复试攻略#考研,8201,165,7545,1168,https://v.douyin.com/i5vtNfUS/,,
考研上岸的宝贝们来看看@小徐呀！(o^^o) 给你们模拟的复试之怎么回答小技巧吧#复试#考研复试#热门小助手#自己剪辑原创视频,2872,55,2386,1990,https://v.douyin.com/i5vtBruk/,,
复试被问到AI，别只背了DeepSeek！ 如果你的模板跟别人一模一样，为什么脱颖而出的是你？围绕一个关键词讲故事，埋一个钩子，主导面试节奏，将无限且随机的面试范围，引导到你准备好的东西上，这就是面试的最大阳谋。#考研复试#面试技巧#面试#人工智能#机器学习,1190,17,1113,767,https://v.douyin.com/B8Jx_f_R_BM/,,
第2集：保研全科普 | 保研全流程详解：推免详解/如何成功保研/推免过程中的关键抉择/九推志愿填报指南#保研#研究生#升学规划#保研面试#知识科普,12000,341,11000,1123,https://v.douyin.com/50RegnbkQNs/,,
保研最全攻略 附带时间流程#保研#保研规划#保研人#保研时间线#研究生,2774,53,5271,6923,https://v.douyin.com/9yMMywOaNmM/,,
大家可以多看看我跟这个小姐姐的面试内容，全程高能无尿点，你要是学会一两点对于你的面试会帮助很大#面试官肖掌柜#面试技巧#与肖同行,2256,21,795,284,https://v.douyin.com/i5vtvhuN/,,
保研资格是怎么没得 #保研#考研#家长必读#大学生,7321,124,935,943,https://v.douyin.com/CobzQuRLUE0/,https://v3-web.douyinvod.com/65cd065d03931a57544a34c0b6b1272b/67dc5d62/video/tos/cn/tos-cn-ve-15/oQBqA6OaeFLDGAmgQnEDnnfuIJDyg6x5ADU1F9/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=290&bt=290&cs=2&ds=3&ft=t2zLrtjjM95MxrKqoZmCE1RSYJoQWMDtGsvHchyq8_45a&mime_type=video_mp4&qs=15&rc=Zzc1aTVkPDQ4Ozg6OWU1ZUBpajo1cW05cmc5dzMzNGkzM0AzNWBfYC9fXzMxMGFgNDNiYSNfMjRlMmRjcWlgLS1kLTBzcw%3D%3D&btag=80000e00018000&cquery=100K_100o_100w_100B_100H&dy_q=1742484230&feature_id=e1ddb39a4f401ebe033c2a227476a980&l=20250320232350C6934E190CC2E71ED7D6&__vid=7451890129758719283,你怎么没竞选班长啊我觉得班长太累了也没啥加分的我打算保研呢我这边有个科研里来过正好缺一个人但是这个寒假底进实验室休息不了几天那我可干不来老师我都约好同学去留了我看你还打比赛呢咋保研加分还不够啊是老师 马上就申请了你那科研还缺什么你现在来我们实验室的话只能给你一些志愿者加分了你能接受吗有加分就不错了 我去你那个志愿者加分我已经给你申请了老师你这个项目不是有科研专项加分吗是啊那你们文章连挂名都不给我的话我明天就不去了你们再找找别人吧行喂老师我分还不够喂喂喂信号不好信号不好
保研联系导师的5大秘籍 #保研#保研规划#保研面试#联系导师,644,4,1493,1807,https://v.douyin.com/BcTkv_ounaU/,,
第20集：保研拟录取确认后，后面的几个雷区千万不要踩#保研#保研攻略#安徽理工大学,693,32,713,2508,https://v.douyin.com/i5vtHXf1/,,
保研潜规则7 #保研 #考研 #潜规则,35000,267,1750,915,https://v.douyin.com/i5vtwJo9/,,
保研潜规则4 #保研 #考研 #潜规则,47000,1362,4859,7009,https://v.douyin.com/i5vt7qsK/,https://v3-web.douyinvod.com/ef57a5a90bbaa5269b5d755ae2224bec/67dc5fbe/video/tos/cn/tos-cn-ve-15/o09BDFA3QytfLf0A2mqyAGNRZKIAEDmxDZkyEg/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=437&bt=437&cs=2&ds=3&ft=t2zLrtjjM95MxrKqoZmCE1RSYBRQWMDtGsvHchyq8_45a&mime_type=video_mp4&qs=15&rc=OjRlOGk0Ozk4Z2RnNjplOkBpM2w5Znk5cnVzdTMzNGkzM0BjXmIxXjUuNjAxX2MyNmM0YSMwYWotMmRjLjVgLS1kLWFzcw%3D%3D&btag=c0000e00020000&cquery=100B_100H_100K_100o_100w&dy_q=1742484819&feature_id=c6de0308cacfd993ef282c8e1c646267&l=202503202333393164DC1C11618B1EB059&__vid=7408862278616911116,记点3.9不错呀你这个六级怎么才430招生简章写了六级过了就行是写了是过了就行过了就行雅思托福有吗没考大英呢啥是大英没事没事没事没事没事没事没事行先回去吧先回去吧进李老师你怎么来了你侄子是吗怎么了边缘宝差一名就0.5分这有啥求不求的你把这个拿给三班的李宁他们大创还差一个组员马上进去决赛了滚二等奖也能加三分来得及完全来得及到时候再信到时候再见
第20集：保研拟录取确认后，后面的几个雷区千万不要踩#保研#保研攻略#安徽理工大学,693,32,713,2508,https://v.douyin.com/i5vn1CsS/,,
保研潜规则6 #保研 #考研 #潜规则,21000,156,885,562,https://v.douyin.com/i5vtKg66/,,
